NO_OF_FRAMES	5000
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-09-17, 16:37:20.571	428377.36681510
DATA_INCLUDED	3D
MARKER_NAMES	1	2
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	1 X	1 Y	1 Z	2 X	2 Y	2 Z	
395	0.78800	288.864	-0.205	403.735	0.000	0.000	0.000
396	0.79000	288.815	-0.213	403.734	0.000	0.000	0.000
397	0.79200	288.782	-0.214	403.733	0.000	0.000	0.000
398	0.79400	288.749	-0.221	403.734	0.000	0.000	0.000
399	0.79600	288.708	-0.222	403.745	0.000	0.000	0.000
400	0.79800	288.667	-0.223	403.732	0.000	0.000	0.000
401	0.80000	288.634	-0.217	403.731	0.000	0.000	0.000
402	0.80200	288.617	-0.217	403.731	0.000	0.000	0.000
403	0.80400	288.576	-0.211	403.718	0.000	0.000	0.000
404	0.80600	288.543	-0.212	403.718	0.000	0.000	0.000
